job_number,job_type,job_description,bldg_type,occ_init,occ_prop,occ_category,stories_init,stories_prop,zoningsft_init,zoningsft_prop,units_init,units_prop,units_net,units_complete,units_incomplete,co_earliest_effectivedate,co_latest_effectivedate,co_latest_certtype,co_latest_units,status,status_date,status_a,status_d,status_p,status_q,status_r,status_x,address_house,address_street,address,bin,bbl,boro,geo_address_house,geo_address_street,geo_address,geo_bin,geo_bbl,geo_boro,geo_cd,geo_ntacode2010,geo_censusblock2010,geo_csd,geo_council,x_dcpedited,x_mixeduse,x_inactive,x_outlier,x_geomsource,x_reason,latitude,longitude,geom
321403110,Alteration,FILING TO OBTAIN NEW CERTIFICATE OF OCCUPANCY SHOWING AS-BUILT CONDITIONS TO OBTAIN A NEW PLACE OF ASSEMBLY. OBTAINING BSA APPROVAL FOR DRIVE-THRU USE.,OTHERS,Assembly: Other,Eating & Drinking,Other,1,1,3268,3268,,,,,,,,,,Withdrawn,06/20/2016 12:00:00 AM,06/13/2016,06/13/2016,,,,,3544,NOSTRAND AVENUE,3544 NOSTRAND AVENUE,3201578,3073860117,Brooklyn,3540,NOSTRAND AVENUE,3540 NOSTRAND AVENUE,3201578,3073860117,3,315,BK17,59402,22,48,,,false,,BBL geosupport,,40.5974594943903,-73.9416580738616,0101000020E6100000FFCF3920447C52C0A68B7E8D794C4440
320594031,Alteration,JOB FILED TO OBTAIN THE CERTIFICATE OF OCCUPANCY FOR THE BUILDING. MINOR WORK AS PER DRAWINGS.,OTHERS,Commercial,Assembly: Other,Other,2,2,5500,5500,1,1,0,0,,,,,,Withdrawn,05/20/2014 12:00:00 AM,01/23/2014,01/30/2014,,,,,267,DRIGGS AVENUE,267 DRIGGS AVENUE,3330187,3026980020,Brooklyn,267,DRIGGS AVENUE,267 DRIGGS AVENUE,3330187,3026980020,3,301,BK76,499,14,33,,,false,,BBL geosupport,,40.7224069958183,-73.9484024790609,0101000020E6100000C4C04FA0B27C52C075B81AD5775C4440
420902223,Alteration,"FILING TO CONVERT BUILDING TO SYNAGOGUE, INTERIOR RENOVATION AND VERTICAL ENLARGEMENT PER PLANS",OTHERS,Residential,Assembly: Other,Residential,1,2,3311,4266,1,0,-1,0,,,,,,Withdrawn,12/24/2013 12:00:00 AM,10/01/2013,10/01/2013,,,,,82-35,SURREY PL,82-35 SURREY PL,4155839,4072430046,Queens,82-35,SURREY PLACE,82-35 SURREY PLACE,4155839,4072430046,4,408,QN06,1277,26,24,,,true,,BBL geosupport,,40.7220295500084,-73.7844230691945,0101000020E6100000C41AD1FC337252C00A04DC766B5C4440
121947037,Alteration,"EXTENSION OF EXISTING BUILDING, CONVERSION TO MIXED USE COMMUNITY FACILITY AND RESIDENTIAL,INCORPORATION OF ALL WORK PERFORMED UNDER APPLICATION NO.100921576, NO WORK APPLICATION NO. 103048863",OTHERS,Residential,Assembly: Other,Residential,4,4,4451,6110,3,2,-1,0,,,,,,Withdrawn,03/26/2014 12:00:00 AM,03/26/2014,03/26/2014,,,,,46,EDGECOMBE AVE,46 EDGECOMBE AVE,1059488,1019600063,Manhattan,46,EDGECOMBE AVENUE,46 EDGECOMBE AVENUE,1059488,1019600063,1,110,MN03,22102,05,09,,true,false,,BBL geosupport,,40.81818020325,-73.9467928100641,0101000020E61000000DD4DE40987C52C0C098FF20BA684440
321044936,Alteration,PROPOSED 1 STORY ADDITION AND NEW CO FOR A CHURCH,OTHERS,"Industrial, Storage & Utilities",Assembly: Other,Other,1,1,2006,2215,0,0,0,0,,,,,,In progress,10/30/2015 12:00:00 AM,12/18/2014,12/18/2014,10/30/2015,,,,504,LINWOOD STREET,504 LINWOOD STREET,3089235,3040180027,Brooklyn,504,LINWOOD STREET,504 LINWOOD STREET,3089235,3040180027,3,305,BK82,1166,19,37,,,false,,BBL geosupport,,40.6729334111673,-73.882573299764,0101000020E6100000CDB3B8147C7852C0B0AC98AE22564440
420315395,Alteration,"MINOR INTERIOR RENOVATION TO EXISTING CHAPEL BUILDING. MODIFICATION TO BASEMENT OFFICES, TOILETS LAYOUT AND FIRST FLOOR NURSERY, LOBBY AND MAIN SANCTUARY. NO CHANGE TO EGRESS, USE, OR OCCUPANCY.",OTHERS,Assembly: Other,Assembly: Other,Other,2,2,6523,6523,,,,,,,,,,In progress,02/11/2011 12:00:00 AM,01/13/2011,01/24/2011,02/11/2011,,,,45-27,21 STREET,45-27 21 STREET,4000578,4000760047,Queens,,21 STREET,,,,,402,QN31,7,30,26,,,true,,BBL DOB,,40.7464148101529,-73.9476009824619,0101000020E61000003455977EA57C52C0B16D3F858A5F4440
220237820,Alteration,ALT-1 FIELD TO AMEND CERTIFICATE OF OCCUPANCY 22167 TO LEGALIZE CHANGE OF USE FROM FACTORY (WOODWORKING SHOP TO HOUSE OF WORSHIP(USE GROUP 4)AND TO LEGALIZE EXISTING CONDITIONS INCLUDING PLUMBING FIXTURE.PLACE OF ASSEMBLY TO FILED IN SEPARATE APPLICATION.,OTHERS,Retail,Assembly: Other,Other,1,1,2325,2325,,,,,,,,,,In progress,07/01/2015 12:00:00 AM,01/08/2013,01/08/2013,07/01/2015,,,,3158,WEBSTER AVENUE,3158 WEBSTER AVENUE,2018668,2033570032,Bronx,3158,WEBSTER AVENUE,3158 WEBSTER AVENUE,2018668,2033570032,2,207,BX43,425,10,11,,,false,,BBL geosupport,,40.8722541032199,-73.8751408399776,0101000020E610000044C6B94E027852C0CB90BF05A66F4440
421521464,Alteration,APPLICATION FILED TO CHANGE MEETS AND BOUNDS. SUBDIVISION FOR NEW TAX LOT 10,OTHERS,Public,Assembly: Other,Other,2,2,13730,13730,,,,,,,,,,In progress,11/01/2017 12:00:00 AM,10/25/2017,10/25/2017,11/01/2017,,,,60-04,60 AVE,60-04 60 AVE,4617916,4027320010,Queens,60-04,60 AVENUE,60-04 60 AVENUE,4617916,4027320010,4,405,QN30,599,24,30,,,false,,BBL geosupport,,40.7162125691243,-73.9058685658838,0101000020E61000007F3C26C0F97952C0BDAF7CDAAC5B4440
320269482,Alteration,"PROPOSE TO CONVERT EXISTING WAREHOUSE INTO A PHYSICAL CULTURE ESTABLISHMENT (GYMNASIUM).NEW PARTITIONS, PLUMBING FIXTURES AS SHOWN ON DRAWINGS FILED HEREWITH. NEW CERTIFICATE OF OCCUPANCY TO BE OBTAINED.",OTHERS,Commercial,Assembly: Other,Other,1,1,13910,13910,,,,,,,,,,In progress,12/06/2013 12:00:00 AM,02/08/2011,02/08/2011,12/06/2013,,,,24,COBECK COURT,24 COBECK COURT,3195646,3072120059,Brooklyn,24,COBECK COURT,24 COBECK COURT,3195646,3072120059,3,313,BK26,37402,21,47,,,true,,BBL geosupport,,40.5871083541447,-73.9732495558412,0101000020E6100000CB4B81B8497E52C04121D65D264B4440
420621152,Alteration,"EXISTING EATING AND DRINKING ESTABLISHMENT, MINOR INTERIOR MODIFICATIONS.  NEW COLUMNS AND BOILER ROOM @ CELLAR.  FIRST FLOOR TO BE PART OF 3 SPACE SINGLE PUBLIC ASSEMBLY.  (ENTIRE ASSEMBLY SPACE TO BE FULLY SPRINKLERED AND FIRE ALARMED UNDER SEP APPLICATION.",OTHERS,Assembly: Other,Eating & Drinking,Other,1,1,156,1506,0,0,0,0,,,,,,In progress,11/20/2012 12:00:00 AM,09/07/2012,09/07/2012,11/20/2012,,,,107-23,METROPOLITAN AVE,107-23 METROPOLITAN AVE,4078418,4032770070,Queens,107-23,METROPOLITAN AVENUE,107-23 METROPOLITAN AVENUE,4078418,4032770070,4,406,QN17,731,28,29,,,true,,BBL geosupport,,40.7098247311486,-73.8452740009381,0101000020E6100000098C1FF8187652C06E166B89DB5A4440
420979935,Alteration,CONVERT FOUR (4) STORES INTO A PLACE OF WORSHIP,OTHERS,Commercial,Assembly: Other,Other,1,1,12608,12608,,,,,,,,,,In progress,07/13/2015 12:00:00 AM,05/09/2014,05/09/2014,07/13/2015,,,,256-09,HILLSIDE AVENUE,256-09 HILLSIDE AVENUE,4179294,4087680001,Queens,256-01,HILLSIDE AVENUE,256-01 HILLSIDE AVENUE,4179294,4087680001,4,413,QN44,157902,26,23,,,false,,BBL geosupport,,40.7369167702906,-73.7115728351737,0101000020E6100000C3F2C9688A6D52C0CD22EA49535E4440
420951857,Alteration,OBTAIN NEW CO DUE TO THE CHANGE OF EGRESS AND METES AND BOUNDS. THIS APPLICATION REPLACES THE NO WORK APPLICATION 420515400.,OTHERS,Assembly: Other,Assembly: Other,Other,3,3,18891,18891,,,,,,,,,,In progress,01/21/2015 12:00:00 AM,06/10/2014,06/10/2014,01/21/2015,,,,42-15,UNION ST,42-15 UNION ST,4438162,4051810017,Queens,42-15,UNION STREET,42-15 UNION STREET,4438162,4051810017,4,407,QN22,857,25,20,,,false,,BBL geosupport,,40.757506375265,-73.8245544659766,0101000020E6100000F8481880C57452C023230AF8F5604440
421249312,Alteration,"NEW CERTIFICATE OF OCCUPANCY FOR CONVERSION FROM CHURCH TO DAYCARE CENTER ON FIRST FLOOR, INCLUDING INSTALLATION OF NEW EXIT DOOR FOR SECONDARY MEANS OF EGRESS & REPLACEMENT OF PLUMBING FIXTURES.",OTHERS,Assembly: Other,Educational,Other,10,10,20391,20391,16,16,0,0,,,,,,In progress,06/15/2018 12:00:00 AM,01/15/2016,01/15/2016,06/15/2018,,,,31-38,137 STREET,31-38 137 STREET,4540139,4044097502,Queens,31-38,137 STREET,31-38 137 STREET,4540139,4044097502,4,407,QN22,88901,25,20,,,false,,BBL geosupport,,40.7684594085645,-73.8313879698335,0101000020E6100000402EE375357552C0450BBEE05C624440
420662688,Alteration,"ALT. 1 NO WORK FILED TO REAPPORTION EXISTING TAX LOT 61 AND CREATE TWO ADDITIONAL LOTS; 161 & 125. ALL THREE LOTS WILL BE REMAIN UNDER ONE ZONING LOT. NO CHANGE OF USE, EGRESS AND OCCUPANCY.",OTHERS,Assembly: Other,Assembly: Other,Other,2,2,17724,17724,1,1,0,0,,,,,,In progress,07/18/2018 12:00:00 AM,10/10/2017,10/12/2017,07/18/2018,,,,31-20,21ST AVENUE,31-20 21ST AVENUE,4016954,4008310061,Queens,31-20,21 AVENUE,31-20 21 AVENUE,4016954,4008310061,4,401,QN72,113,30,22,,,false,,BBL geosupport,,40.7773211573436,-73.9081275999521,0101000020E6100000E99839C31E7A52C0CAA37A427F634440
122240155,Alteration,"CHANGE USE OF EXISTING COMMERCIAL SPACE ON THE CELLAR, FIRST FLOOR AND SECOND FLOOR TO PHYSICAL CULTURE ESTABLISHMENT ('PCE').",OTHERS,Commercial,Assembly: Other,Other,5,5,15537,15537,3,3,0,0,,,,,,In progress,02/05/2016 12:00:00 AM,12/30/2014,12/30/2014,02/05/2016,,,,465,LEXINGTON AVENUE,465 LEXINGTON AVENUE,1036187,1013000020,Manhattan,465,LEXINGTON AVENUE,465 LEXINGTON AVENUE,1036187,1013000020,1,106,MN19,92,02,04,,,false,,BBL geosupport,,40.7535187039136,-73.9741793719199,0101000020E61000005DB56FF4587E52C0DC1D074D73604440
321326846,Alteration,PROPSE HORIZONTAL ADDITION AT THIRD FLOOR.  INTERIOR AN EXPERTOR RENOVATION OF EXISTING BUILDING.  INTERIOR PARTITIONS AND PLUMBING WORK AS INDICTED ON PLANS.,OTHERS,Public,Assembly: Other,Other,3,3,4581,4763,2,2,0,0,,,,,,In progress,05/30/2017 12:00:00 AM,04/07/2016,04/07/2016,05/30/2017,,,,4401,14TH AVENUE,4401 14TH AVENUE,3136515,3056120010,Brooklyn,4401,14 AVENUE,4401 14 AVENUE,3136515,3056120010,3,312,BK88,232,20,44,,,false,,BBL geosupport,,40.6362605902296,-73.9868367121202,0101000020E61000001A432B55287F52C08A62ADFC70514440
421099769,Demolition,"I.S. 429 - Q : DEMOLITION OF THE 2 STORY COMMERCIAL STRUCTURE INCLUDING FOUNDATION, CELLAR, 1ST FLOOR, 2ND FLOOR AND ROOF. DISCONNECT AND REMOVE ALL UTILITIES AND ASSOCIATED PIPING AND WIRING. SOUTH WALL OF THE STRUCTURE APPROXIMATELY 190 +/- FEET TO REMAIN FROM FOUNDATION TO THE PARAPET AS SHOWN ON THE PLANS FILED HEREWITH.",OTHERS,Assembly: Other,Empty Lot,Other,2,0,0,0,0,0,0,0,,,,,,In progress,09/06/2018 12:00:00 AM,09/06/2018,09/06/2018,09/06/2018,,,,38-04,48TH STREET,38-04 48TH STREET,4000846,4001250010,Queens,38-04,48 STREET,38-04 48 STREET,4000846,4001250010,4,402,QN31,169,30,26,,,false,,BBL geosupport,,40.749755475373,-73.9159279041956,0101000020E6100000E78012909E7A52C0A65CC7FCF75F4440
520326905,Alteration,APPLICATION IS FILED FOR THE VERTICAL ENLARGEMENT OF SECOND FLOOR AND TO CHANGE THE USE CROUP OF ENTIRE BUILDING TO USE GROUP 9 FOR BLUEPRINTING AND COPY STORE.,OTHERS,Assembly: Other,Retail,Other,2,2,2176,2707,0,0,0,0,,,,,,In progress,11/05/2018 12:00:00 AM,07/18/2018,07/18/2018,11/05/2018,,,,2461,HYLAN BLVD.,2461 HYLAN BLVD.,5052836,5036480001,Staten Island,2461,HYLAN BOULEVARD,2461 HYLAN BOULEVARD,5052836,5036480001,5,502,SI45,122,31,50,,,false,,BBL geosupport,,40.5713163592627,-74.1093501946997,0101000020E6100000FC82F597FF8652C0FE59FBE420494440
520100373,Alteration,"ALTERATION TYPE-1 APPLICATION FOR CHANGE OF THE EXISTING CERTIFICATES OF OCCUPANCY FOR ZONING LOT DESCRIPTION, TAX LOT NUMBER AND ADDRESS, WHERE APPLICABLE, ONLY. NO CHANGE OF USE OR WORK TO BE PERFORMED. FORMERLY 304C PROSPECT AVE. BLOCK: 97, LOT: 1. NB 1812/72, CO # 52044 ISSUED 5/25/77.",OTHERS,Assembly: Other,Assembly: Other,Other,1,1,1234,1234,,,,,,,,,,In progress,05/31/2012 12:00:00 AM,05/23/2012,05/23/2012,05/31/2012,,,,329,BRIGHTON AVENUE,329 BRIGHTON AVENUE,5158778,5001000080,Staten Island,,BRIGHTON AVENUE,,5000000,5001000080,5,501,SI35,67,31,49,,,true,,BBL geosupport,,40.6353982483456,-74.0978075858742,0101000020E61000005BA8BF7A428652C03D4AD4BA54514440
123375622,Alteration,HEREWITH FILING ALT-1 FOR INTERIOR & EGRESS MODIFICATIONS. NO CHANGE TO USE OR OCCUPANCY.,OTHERS,Assembly: Other,Eating & Drinking,Other,1,1,55479,1141,,,,,,,,,,In progress,09/07/2018 12:00:00 AM,07/23/2018,08/03/2018,09/07/2018,,,,23,GRAND STREET,23 GRAND STREET,1088492,1002270050,Manhattan,23,GRAND STREET,23 GRAND STREET,1088492,1002270050,1,102,MN24,47,02,01,,,false,,BBL geosupport,,40.7227624625938,-74.0049214579986,0101000020E6100000C54917A2508052C0F1CEF97A835C4440
120249294,Alteration,ALTER BUILDING AND CHAGNE USE AT FLOORS 4-5 TO SECURE NEW CERTIFICATE OF OCCUPANCY.,OTHERS,Assembly: Other,Commercial,Other,5,5,5640,5640,,,,,,,,,,In progress,04/02/2010 12:00:00 AM,01/26/2010,01/29/2010,04/02/2010,,,,958,AVENUE OF THE AMERICAS,958 AVENUE OF THE AMERICAS,1015882,1008360083,Manhattan,958,AVENUE OF THE AMERICAS,958 AVENUE OF THE AMERICAS,1015882,1008360083,1,105,MN17,76,02,04,,,true,,BBL geosupport,,40.7502721504848,-73.9871168235868,0101000020E6100000BDA80AEC2C7F52C041B7F6EA08604440
320983566,Alteration,CONVERTING TWO FAMILY RESIDENCE TO ONE FAMILY AND PLACE WORSHIP.  WORK TO BE DONE AT FIRST FLOOR AND CELLAR ONLY.  EXISTING APARTMENT OF SECOND FLOOR TO REMAIN.,OTHERS,Residential: 1 & 2 Family,Assembly: Other,Residential,2,2,1140,1140,2,1,-1,0,,,,,,In progress,02/23/2016 12:00:00 AM,09/04/2015,09/04/2015,02/23/2016,,,,509,MONTAUK AVENUE,509 MONTAUK AVENUE,3253018,3044790042,Brooklyn,509,MONTAUK AVENUE,509 MONTAUK AVENUE,3253018,3044790042,3,305,BK82,1116,19,42,,,false,,BBL geosupport,,40.6659346517145,-73.8742282590244,0101000020E6100000EA6F155BF37752C08B31BF583D554440
321044703,Alteration,PROPOSED COMPLETE RENOVATION TO FIRST FLOOR COMMERCIAL AND SECOND FLOOR RESIDE NTIAL APARTMENTS.SEE PLANS FILED HEREWITH,OTHERS,Residential,Assembly: Other,Residential,2,2,8525,9298,2,5,3,0,,,,,,In progress,12/21/2017 12:00:00 AM,12/18/2014,12/18/2014,12/21/2017,,,,564,ALBANY AVE.,564 ALBANY AVE.,3106831,3047990043,Brooklyn,564,ALBANY AVENUE,564 ALBANY AVENUE,3106831,3047990043,3,309,BK60,806,17,41,,true,false,,BBL geosupport,,40.6609158430929,-73.940147273458,0101000020E61000003B3B785F2B7C52C003BFEDE398544440
122459437,Alteration,CHANGE IN USE TO CELLAR LEVEL TO PHYDICAL CULTURAL ESTABLISHMENT,OTHERS,Residential: Multi-Family,Assembly: Other,Residential,7,7,39246,39246,35,35,0,0,,,,,,In progress,12/08/2016 12:00:00 AM,07/09/2015,07/09/2015,12/08/2016,,,,100,WEST 72ND STREET,100 WEST 72ND STREET,1076233,1011437503,Manhattan,100,WEST 72 STREET,100 WEST 72 STREET,1076233,1011437503,1,107,MN14,157,03,06,,,false,,BBL geosupport,,40.777276738667,-73.979193729726,0101000020E6100000C5672D1CAB7E52C01842DECD7D634440
420663464,Alteration,"CONVERT PARTIAL CELLAR FLOOR TO BE SENIOR DAY CARE CENTER, NO PLUMBING WORK, NO WORK ON OTHER FLOORS, OBTAIN NEW CERTIFICATE OF OCCUPANCY.",OTHERS,Assembly: Other,Assembly: Other,Other,4,4,4395,4395,11,11,0,0,,,,,,In progress,09/24/2018 12:00:00 AM,02/09/2018,03/28/2018,09/24/2018,,,,146-27,BEECH AVE,146-27 BEECH AVE,4523226,4053757502,Queens,146-27,BEECH AVENUE,146-27 BEECH AVENUE,4523226,4053757502,4,407,QN52,861,25,20,,,false,,BBL geosupport,,40.758201168719,-73.8178509848108,0101000020E6100000DF30A8AB577452C0F0B763BC0C614440
321245185,New Building,APPLICATION IS FILED FOR NEW TWO STORY PER CODE & ZONING COMMERCIAK BUILDING.,OTHERS,Empty Lot,Assembly: Other,Other,0,2,0,14502,0,,,,,,,,,In progress,07/28/2017 12:00:00 AM,05/19/2016,05/19/2016,07/28/2017,,,,825,SURF AVENUE,825 SURF AVENUE,3425667,3072680218,Brooklyn,821,SURF AVENUE,821 SURF AVENUE,3000000,3072680213,3,313,BK23,350,21,48,,,false,,BBL geosupport,,40.5756370951634,-73.9772621605412,0101000020E610000022C996768B7E52C0AB0BF179AE494440
120545124,Alteration,"ESTABLISH A DAYCARE CENTER ACCESSORY TO HOUSE OF WORSHIP AT CELLAR  AS PER PLANS FILED, INSTALL SANITARY FACILITIES, PARTITIONS, & STAIRS. HANDICAP LIFT, SPRINKLERS & MECHANICAL VENTILATION SYSTEM TO BE FILED UNDER SEPARATE APPLICATIONS. OBTAIN AMENDED CO FOR DAYCARE FACILITY. NO INCREASE IN EX. FLOOR AREA.",OTHERS,"Industrial, Storage & Utilities",Assembly: Other,Other,2,2,12972,12972,,,,,,,,,,In progress,03/14/2011 12:00:00 AM,11/29/2010,11/29/2010,03/14/2011,,,,151,EAST 22 STREET,151 EAST 22 STREET,1018017,1008780032,Manhattan,151,EAST 22 STREET,151 EAST 22 STREET,1018017,1008780032,1,106,MN21,68,02,02,,,true,,BBL geosupport,,40.7385769670279,-73.9840356822538,0101000020E61000002458CC70FA7E52C0587BA7B0895E4440
420943876,Demolition,"DEMOLISH EXISTING ONE STORY MOSQUE BUILDING INCLUDING PARTIAL CELLAR, FIRST FLOOR AND ROOF",OTHERS,Assembly: Other,Empty Lot,Other,1,0,0,0,,0,,,,,,,,In progress,01/30/2014 12:00:00 AM,01/30/2014,01/30/2014,01/30/2014,,,,131-24,SPRINGFIELD BOULEVARD,131-24 SPRINGFIELD BOULEVARD,4274163,4127290016,Queens,131-24,SPRINGFIELD BOULEVARD,131-24 SPRINGFIELD BOULEVARD,4274163,4127290016,4,412,QN08,352,29,27,,,true,,BBL geosupport,,40.6837379447461,-73.751712790879,0101000020E6100000D733F70F1C7052C0FEDB97B984574440
