job_number,job_type,job_description,bldg_type,occ_init,occ_prop,occ_category,stories_init,stories_prop,zoningsft_init,zoningsft_prop,units_init,units_prop,units_net,units_complete,units_incomplete,co_earliest_effectivedate,co_latest_effectivedate,co_latest_certtype,co_latest_units,status,status_date,status_a,status_d,status_p,status_q,status_r,status_x,address_house,address_street,address,bin,bbl,boro,geo_address_house,geo_address_street,geo_address,geo_bin,geo_bbl,geo_boro,geo_cd,geo_ntacode2010,geo_censusblock2010,geo_csd,geo_council,x_dcpedited,x_mixeduse,x_inactive,x_outlier,x_geomsource,x_reason,latitude,longitude,geom,row_number
320295293,Alteration,"INTERIOR RENOVATION, PARTITIONS AND PLUMBING AS PER PLANS. NO CHANGE TO USE, OCCUPANCY OR BULK.",OTHERS,Residential,Residential: Multi-Family,Residential,3,4,6132,8176,6,15,9,9,0,2013-01-03,2013-01-03,C- CO,15,Complete,01/03/2013 12:00:00 AM,04/15/2011,04/15/2011,05/19/2011,2011-05-19,08/05/2011,01/03/2013,101,EAST 56 ST,101 EAST 56 ST,3101615,3046620041,Brooklyn,101,EAST 56 STREET,101 EAST 56 STREET,3101615,3046620041,3,317,BK96,864,18,41,,,false,,BBL geosupport,,40.6547364638612,-73.9245607082338,0101000020E6100000F741AD002C7B52C02EE48967CE534440,2
321355957,New Building,"PROPOSED NEW 4-STORY AND CELLAR, MASONRY BUILDING",1-2-3 FAMILY,Empty Lot,Residential: 1 & 2 Family,Residential,0,4,0,3338,0,2,2,0,,,,,,Permit issued,07/19/2018 12:00:00 AM,03/22/2016,03/22/2016,07/19/2016,2017-04-24,07/19/2018,,101,SOUTH 4TH STREET,101 SOUTH 4TH STREET,3398047,3024300038,Brooklyn,101,SOUTH 4 STREET,101 SOUTH 4 STREET,3000000,3024300038,3,301,BK73,551,14,34,,,false,,BBL geosupport,,40.7124807821329,-73.9638829924919,0101000020E6100000187B4A42B07D52C00A25FD91325B4440,2
320914285,Alteration,"PROPOSED TO OBTAIN AN AMENDED C OF O FOR THE EXISTING 5 STORY BUILDING, TO CHANGE NUMBER OF DWELLING UNITS AT RESIDENTIAL BUILDING.",OTHERS,Residential: Multi-Family,Residential,Residential,5,5,57927,57927,50,61,11,0,,,,,,In progress,07/03/2014 12:00:00 AM,06/25/2014,07/02/2014,,,,,101,SUTTON STREET,101 SUTTON STREET,3330159,3026580026,Brooklyn,99,SUTTON STREET,99 SUTTON STREET,3330159,3026580026,3,301,BK76,589,14,33,true,,false,,BBL geosupport,change occ_prop,40.7264906193533,-73.9411120948932,0101000020E6100000EC5B392E3B7C52C0997C05A5FD5C4440,2
420188585,Alteration,"CONVERT HOUSE INTO 2-FAMILY RESIDENCE.  ERECT 2ND FLOOR ADDITION AND 2-STORY ENLARGEMENT, INSTALL PARTITIONS, TOILET IN CELLAR, AND REAR CANOPY.",1-2-3 FAMILY,Residential,Residential: 1 & 2 Family,Residential,2,2,1221,2529,1,2,1,0,,,,,,In progress,07/28/2010 12:00:00 AM,05/14/2010,05/21/2010,07/28/2010,,,,102-14,217TH LANE,102-14 217TH LANE,4239250,4111040023,Queens,102-14,217 LANE,102-14 217 LANE,4239250,4111040023,4,413,QN34,540,29,27,,,true,,BBL geosupport,,40.7138225693113,-73.7391912535789,0101000020E610000016E7D4E84E6F52C05A2BB7895E5B4440,2
421473355,New Building,PROPOSED NEW 3-STORY 3-FAMILY MASONRY BLDG.,1-2-3 FAMILY,Empty Lot,Residential: Multi-Family,Residential,0,3,0,3081,0,3,3,0,,,,,,Permit issued,09/27/2018 12:00:00 AM,05/02/2017,06/05/2017,08/14/2017,2018-01-18,09/27/2018,,102-50,NICOLLS AVENUE,102-50 NICOLLS AVENUE,4048737,4019830025,Queens,102-50,NICOLLS AVENUE,102-50 NICOLLS AVENUE,4048737,4019830025,4,404,QN25,413,24,21,,,false,,BBL geosupport,,40.7446255893569,-73.8598504302338,0101000020E61000008F5319CA077752C0BE062DE44F5F4440,2
121542009,Alteration,CONVERT FIRST FLOOR FROM RESTAURANT TO RETAIL STORES. CONVERT SECOND FLOOR FROM STORAGE TO CLASS A APARTMENTS. OBTAIN NEW C OF O.,OTHERS,Commercial,Hotel or Dormitory,Other,2,2,14250,14250,0,10,10,0,,,,,,In progress (last plan disapproved),04/02/2013 12:00:00 AM,03/07/2013,03/07/2013,,,,,102,EAST 125 STREET,102 EAST 125 STREET,1081560,1017730069,Manhattan,100,EAST 125 STREET,100 EAST 125 STREET,1081560,1017730069,1,111,MN34,196,05,08,,,true,,BBL geosupport,,40.804701722016,-73.9388261303912,0101000020E610000047AA31BA157C52C0028C4D7700674440,2
320909291,New Building,PROPOSED NEW 4-STORY AND PENTHOUSE. 7-FAMILY RESIDENTIAL BUILDING.,OTHERS,Empty Lot,Residential: Multi-Family,Residential,0,4,0,5105,0,7,7,7,0,2018-11-15,2018-11-15,C- CO,7,Complete,11/15/2018 12:00:00 AM,09/10/2015,09/11/2015,04/14/2016,2016-08-24,11/14/2016,11/15/2018,102,QUINCY STREET,102 QUINCY STREET,3425965,3019730039,Brooklyn,102,QUINCY STREET,102 QUINCY STREET,3425965,3019730039,3,303,BK69,229,13,35,,,false,,BBL geosupport,,40.6859767096899,-73.9571507992741,0101000020E6100000410E6DF5417D52C0CDF7B615CE574440,2
320912713,New Building,"PROPOSING 4 STORY & CELLAR, 8 DWELLING UNITS",OTHERS,Empty Lot,Residential: Multi-Family,Residential,0,4,0,5499,0,8,8,0,,,,,,In progress (last plan disapproved),07/03/2018 12:00:00 AM,05/30/2018,05/31/2018,,,,,103,VANDERVEER STREET,103 VANDERVEER STREET,3080510,3034710032,Brooklyn,103,VANDERVEER STREET,103 VANDERVEER STREET,3080510,3034710032,3,304,BK78,405,23,37,,,false,,BBL geosupport,,40.6824278655549,-73.9035958891013,0101000020E61000005B1FDA83D47952C0FF37DACB59574440,2
321286345,New Building,ERECT A NEW BUILDING.  3-STORY AND 3-FAMILY,1-2-3 FAMILY,Empty Lot,Residential: Multi-Family,Residential,0,3,0,6615,0,3,3,0,,,,,,Permit issued,01/04/2019 12:00:00 AM,06/30/2016,06/30/2016,12/20/2016,2018-10-12,01/04/2019,,1040,HERKIMER STREET,1040 HERKIMER STREET,3042348,3015590016,Brooklyn,1040,HERKIMER STREET,1040 HERKIMER STREET,3042348,3015590016,3,303,BK79,301,16,41,,,false,,BBL geosupport,,40.6777487631534,-73.9189749572819,0101000020E61000009AD7567CD07A52C00153B278C0564440,2
320594273,New Building,PROPOSED THREE-STORY THREE FAMILY NEW BUILDING AS PER PLANS FILED,1-2-3 FAMILY,Empty Lot,Residential: Multi-Family,Residential,0,3,0,2984,0,3,3,0,,,,,,Withdrawn,12/06/2016 12:00:00 AM,01/30/2014,02/03/2014,,,,,1042,HERKIMER STREET,1042 HERKIMER STREET,3042349,3015590017,Brooklyn,1042,HERKIMER STREET,1042 HERKIMER STREET,3042349,3015590017,3,303,BK79,301,16,41,,,false,,BBL geosupport,,40.6777432122707,-73.9188810034853,0101000020E6100000A3B844F2CE7A52C0F5E4214AC0564440,2
122706704,Alteration,"REHAB OF EXISTING BUILDING FOR ENLARGEMENT AND CHANGE OF USE FROM COMMERCIAL TO RESID'L ON THE 2ND FLOOR & RESID'L ON THE NEW 3RD THROUGH 8TH FLOOR, AS PER ALT I # 121105847.  DEMO WORK ON THE CELLAR, 1ST, 2ND FLOOR & ROOF.",OTHERS,Commercial,Residential: Multi-Family,Residential,2,8,4226,16210,0,4,4,0,,,,,,In progress,08/01/2017 12:00:00 AM,06/20/2016,06/20/2016,08/01/2017,,,,1042,MADISON AVENUE,1042 MADISON AVENUE,1046435,1014910017,Manhattan,1042,MADISON AVENUE,1042 MADISON AVENUE,1046435,1014910017,1,108,MN40,142,02,04,,true,false,,BBL geosupport,,40.7767437869994,-73.9621192014183,0101000020E61000007E3C6A5C937D52C0514425576C634440,2
421420741,New Building,APPLICATION FILED FOR NEW BUILDING.OBTAIN CERTIFICATE OF OCCUPANCY,1-2-3 FAMILY,Empty Lot,Residential: 1 & 2 Family,Residential,0,2,0,4420,0,2,2,0,,,,,,Permit issued,06/27/2018 12:00:00 AM,01/11/2017,01/11/2017,01/09/2018,2018-04-24,06/27/2018,,104-74,165 STREET,104-74 165 STREET,4216385,4101630082,Queens,104-74,165 STREET,104-74 165 STREET,4216385,4101630082,4,412,QN01,254,28,27,,,false,,BBL geosupport,,40.6993695590636,-73.790873921405,0101000020E610000066ECA6AD9D7252C080FF13F184594440,2
421421900,New Building,APPLICATION FILED FOR NEW BUILDING.OBTAIN CERTIFICATE OF OCCUPANCY,1-2-3 FAMILY,Empty Lot,Residential: 1 & 2 Family,Residential,0,2,0,4420,0,2,2,0,,,,,,Permit issued,06/27/2018 12:00:00 AM,01/13/2017,01/13/2017,01/09/2018,2018-04-25,06/27/2018,,104-76,165 STREET,104-76 165 STREET,4596133,4101630083,Queens,104-76,165 STREET,104-76 165 STREET,4000000,4101630083,4,412,QN01,254,28,27,,,false,,BBL geosupport,,40.6993128298263,-73.7908328305239,0101000020E610000003ED4D019D7252C07CE3321583594440,2
320723696,Alteration,APPLICATION TO CONVERT EXISTING 2 FAMILY DWELLING TO THREE FAMILY DWELLING AND TO CORRECT VIOLATION NUMBER 34766271M.,1-2-3 FAMILY,Residential: 1 & 2 Family,Residential: Multi-Family,Residential,2,2,3024,3692,2,3,1,0,,,,,,In progress (last plan disapproved),10/02/2013 12:00:00 AM,03/15/2013,03/15/2013,,,,,1050,EAST 85 STREET,1050 EAST 85 STREET,3225728,3080360060,Brooklyn,1050,EAST 85 STREET,1050 EAST 85 STREET,3225728,3080360060,3,318,BK50,996,18,46,,,true,,BBL geosupport,,40.6350953271199,-73.906951333225,0101000020E6100000F7D09A7D0B7A52C044E9BDCD4A514440,2
321189334,Alteration,RECONVERT EXISTING BUILDING FROM A DAY CARE CENTER TO A MIXED USE BUILDING AS PER MDL SECTION 9.6. CONVERT FIRST FLOOR TO A RETAIL USE AND RESIDENTIAL USE. CONVERT FLOORS 2-4 TO RESIDENTIAL APARTMENTS. BUIDLING TO OBTAIN A NEW CERTIFICATE OF OCCUPANCY.,OTHERS,Educational,Residential: Multi-Family,Residential,4,4,10337,10337,0,13,13,0,,,,,,Permit issued,11/21/2018 12:00:00 AM,11/14/2016,11/22/2016,09/15/2017,2017-11-30,04/05/2018,,1057,FULTON STREET,1057 FULTON STREET,3057260,3019930011,Brooklyn,1057,FULTON STREET,1057 FULTON STREET,3057260,3019930011,3,302,BK69,227,13,35,,true,false,,BBL geosupport,,40.6821489767079,-73.9594533614751,0101000020E6100000A86412AF677D52C0E8FA5CA850574440,2
121423478,Alteration,"FILE PLANS AND APPLICATIONS TO INDICATE EXISTING CONDITIONS AND OBTAIN AN AMENDED CERTIFICATE OF OCCUPANCY TO INCLUDE INTERIM MULTIPLE DWELLING UNITS PER NYC LOFT BOARD REQUIREMENTS, IN ACCORDANCE WITH ARTICLE 7B - NYS MULTIPLE DWELLING LAW.   NO CHANGE TO EXISTING COMMERCIAL USE, FOR PROPOSED MIXED USE BUILDING.",OTHERS,Commercial,Residential,Other,5,5,10000,10000,2,4,2,0,,,,,,Withdrawn,12/12/2012 12:00:00 AM,10/25/2012,10/25/2012,,,,,105,BOWERY,105 BOWERY,1003923,1003040006,Manhattan,105,BOWERY,105 BOWERY,1003923,1003040006,1,103,MN27,16,02,01,true,true,true,,BBL geosupport,change occ_prop,40.7175902795607,-73.9948905483316,0101000020E6100000C10B6849AC7F52C004528FFFD95B4440,2
520077425,Alteration,HEREWITH FILING COMPLETE GUT RENOVATION.  CHANGE OF USE FROM DWELLING UNIT TO THREE ASSISTED LIVING ROOMING UNITS WITH ACCESSORY OFFICES.,OTHERS,Residential,Medical and other custodial institutions,Residential,2,2,3617,3617,1,3,2,2,0,2015-12-01,2016-09-07,C- CO,3,Complete,09/07/2016 12:00:00 AM,09/13/2011,09/13/2011,12/04/2013,2013-12-04,12/04/2013,09/07/2016,105,FRIENDSHIP LANE,105 FRIENDSHIP LANE,5158355,5009550201,Staten Island,105,FRIENDSHIP LANE,105 FRIENDSHIP LANE,5158355,5009550201,5,502,SI24,181,31,50,,,false,,BBL geosupport,,40.5946393858358,-74.1317740282781,0101000020E6100000A87A55FC6E8852C0068AB5241D4C4440,2
520084809,New Building,NEW BUILDING,1-2-3 FAMILY,Empty Lot,Residential: Multi-Family,Residential,0,4,0,5812,0,6,6,0,,,,,,Withdrawn,12/30/2011 12:00:00 AM,12/09/2011,12/09/2011,,,,,105,MAPLE AVENUE,105 MAPLE AVENUE,5025360,5010770011,Staten Island,105,MAPLE AVENUE,105 MAPLE AVENUE,5025360,5010770011,5,501,SI28,207,31,49,,,true,,BBL geosupport,,40.6373996396028,-74.134711805851,0101000020E6100000F920441E9F8852C0C249B74F96514440,2
421029755,New Building,NEW  2 STORY BUILDING FOR DOCTORS OFFICE,OTHERS,Empty Lot,Residential: 1 & 2 Family,Residential,0,2,0,2359,0,2,2,0,,,,,,In progress (last plan disapproved),11/16/2016 12:00:00 AM,11/03/2014,11/03/2014,,,,,106-22,97 STREET,106-22 97 STREET,4594827,4091670018,Queens,106-22,97 STREET,106-22 97 STREET,4000000,4091670018,4,410,QN56,86,27,32,,,false,,BBL geosupport,,40.6798376550064,-73.8420954650122,0101000020E6100000949560E4E47552C0C06B97EB04574440,2
321020015,New Building,NEW 4 STORY BUILDING FOR 6 DWELLING UNITS. NEW C OF O TO BE OBTAINED.,OTHERS,Empty Lot,Residential: Multi-Family,Residential,0,4,0,4345,0,6,6,0,,,,,,Withdrawn,10/09/2015 12:00:00 AM,11/05/2014,11/05/2014,,,,,1064,HANCOCK STREET,1064 HANCOCK STREET,3078197,3033950020,Brooklyn,1064,HANCOCK STREET,1064 HANCOCK STREET,3078197,3033950019,3,304,BK78,399,32,37,,,false,,BBL geosupport,,40.6884965303427,-73.9144841673536,0101000020E610000097DF99E8867A52C0A19D80A720584440,2
220456432,New Building,"FILED HEREWITH PLANS AND APPLICATIONS FOR A NEW THREE (3) STORY, THREE (3) FAMILY NEW BUILDING.",1-2-3 FAMILY,Empty Lot,Residential: Multi-Family,Residential,0,3,0,3271,0,3,3,3,0,2018-06-18,2018-06-18,C- CO,3,Complete,06/18/2018 12:00:00 AM,05/12/2015,09/04/2015,12/30/2015,2016-04-20,09/27/2016,06/18/2018,1067,TELLER AVENUE,1067 TELLER AVENUE,2002238,2024330067,Bronx,1067,TELLER AVENUE,1067 TELLER AVENUE,2002238,2024330067,2,204,BX14,175,09,16,,,false,,BBL geosupport,,40.8292891454115,-73.9136823491065,0101000020E6100000111688C5797A52C0323C8F25266A4440,2
321699319,Alteration,VERTICAL AND HORIZONTAL EXPANSION OF EXISTING BUILDING AND CONVERSION TO AN 8 UNIT APARTMENT BUILDING,OTHERS,Residential,Residential: Multi-Family,Residential,3,4,4033,5284,2,8,6,0,,,,,,Permit issued,12/20/2018 12:00:00 AM,12/18/2017,12/18/2017,06/11/2018,2018-07-11,12/20/2018,,1068,PUTNAM AVENUE,1068 PUTNAM AVENUE,3039815,3014860022,Brooklyn,1068,PUTNAM AVENUE,1068 PUTNAM AVENUE,3039815,3014860022,3,303,BK35,375,16,41,,,false,,BBL geosupport,,40.687331816167,-73.9193354439926,0101000020E61000001B805464D67A52C004F82B7DFA574440,2
420511226,Alteration,PROPOSED FROM A ONE FAMILY DWELLING TO A TWO FAMILY DWELLING,1-2-3 FAMILY,Residential: 1 & 2 Family,Residential: 1 & 2 Family,Residential,2,2,1312,1312,1,2,1,0,,,,,,Permit issued,12/16/2011 12:00:00 AM,12/06/2011,12/06/2011,12/12/2011,2011-12-16,12/16/2011,,107-07,GUY R BREWER BLVD,107-07 GUY R BREWER BLVD,4216437,4101660027,Queens,107-07,GUY R BREWER BOULEVARD,107-07 GUY R BREWER BOULEVARD,4216437,4101660027,4,412,QN01,254,28,27,,,true,,BBL geosupport,,40.6980213324432,-73.7919632077342,0101000020E6100000A4367386AF7252C07D6055C358594440,2
321245602,Alteration,"CONVERT EXISTING ONE FAMILY DWELLING TO TWO FAMILY DWELLING, NEW PATIO AND METAL DECK AT REAR YARD. MINOR INTERIOR PARTITION WORK NEW KITCHENS AND BATHROOMS. NEW C OF O IS REQUIRED ALL AS PER PLANS FILED HEREWITH.",1-2-3 FAMILY,Residential: 1 & 2 Family,Residential: 1 & 2 Family,Residential,4,4,3494,3494,1,2,1,0,,,,,,In progress (last plan disapproved),01/15/2016 12:00:00 AM,01/08/2016,01/08/2016,,,,,1070,BERGEN STREET,1070 BERGEN STREET,3030658,3012190029,Brooklyn,1070,BERGEN STREET,1070 BERGEN STREET,3030658,3012190029,3,308,BK61,315,17,36,,,false,,BBL geosupport,,40.6758768338657,-73.9507493507803,0101000020E6100000D812CE13D97C52C0E5C9D02183564440,2
420977713,New Building,PROPOSED A 3 STORY 5 FAMILY MIXED USE RESIEDENTIAL BUILDING.,1-2-3 FAMILY,Empty Lot,Residential: Multi-Family,Residential,0,3,0,9035,0,5,5,5,0,2016-06-17,2016-06-17,C- CO,5,Complete,06/17/2016 12:00:00 AM,05/19/2014,05/19/2014,09/11/2014,2014-10-10,07/31/2015,06/17/2016,107-18,37TH DRIVE,107-18 37TH DRIVE,4595616,4017740030,Queens,107-18,37 DRIVE,107-18 37 DRIVE,4595616,4017740030,4,403,QN26,403,24,21,,true,false,,BBL geosupport,,40.7528719939645,-73.8603122721379,0101000020E61000007F4B345B0F7752C07513081C5E604440,2
321194337,Alteration,"ALT 1 FILED FOR CONVERSION OF EXISTING COMMUNITY FACILITY BUILDING INTO A RESIDENTIAL USE AS PER ZR ARTICLE 1, CHAPTER 5",OTHERS,Residential: Multi-Family,Residential: Multi-Family,Residential,10,11,124581,124581,1,159,158,0,,,,,,Withdrawn,07/11/2017 12:00:00 AM,07/11/2017,,,,,,107,COLUMBIA HEIGHTS,107 COLUMBIA HEIGHTS,3001656,3002240005,Brooklyn,101,COLUMBIA HEIGHTS,101 COLUMBIA HEIGHTS,3001656,3002240005,3,302,BK09,1,13,33,,true,false,,BBL geosupport,,40.6993500331027,-73.9953554883055,0101000020E6100000A48A81E7B37F52C0F750484D84594440,2
321198431,New Building,"ERECT A 3-STORY, 2-FAMILY NEW BUILDING",1-2-3 FAMILY,Empty Lot,Residential: 1 & 2 Family,Residential,0,3,0,1920,0,2,2,0,,,,,,Permit issued,10/12/2018 12:00:00 AM,10/15/2014,10/15/2014,03/31/2015,2015-05-21,09/23/2015,,1082,E 92 STREET,1082 E 92 STREET,3418109,3081600079,Brooklyn,1082,EAST 92 STREET,1082 EAST 92 STREET,3000000,3081600079,3,318,BK50,964,18,46,,,false,,BBL geosupport,,40.642872221143,-73.9070642878111,0101000020E610000029E15E570D7A52C070A80EA349524440,2
